player,playerLabel,clubLabel,leagueLabel,start,end,caps
http://www.wikidata.org/entity/Q110523,Manuel Friedrich,SV Werder Bremen,Bundesliga,2003-01-01T00:00:00Z,2003-01-01T00:00:00Z,1
http://www.wikidata.org/entity/Q110523,Manuel Friedrich,1. FSV Mainz 05,Bundesliga,2004-01-01T00:00:00Z,2007-01-01T00:00:00Z,116
http://www.wikidata.org/entity/Q110523,Manuel Friedrich,Bayer 04 Leverkusen,Bundesliga,2007-01-01T00:00:00Z,2013-01-01T00:00:00Z,147
http://www.wikidata.org/entity/Q110523,Manuel Friedrich,Borussia Dortmund,Bundesliga,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,11
http://www.wikidata.org/entity/Q112998,Mikel González Martínez,Real Sociedad,La Liga,,2004-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q112998,Mikel González Martínez,Real Sociedad,La Liga,2005-01-01T00:00:00Z,2017-01-01T00:00:00Z,300
http://www.wikidata.org/entity/Q113156,Robert Pires,Arsenal F.C.,Premier League,2000-01-01T00:00:00Z,2006-01-01T00:00:00Z,284
http://www.wikidata.org/entity/Q113156,Robert Pires,Villarreal CF,La Liga,2006-01-01T00:00:00Z,2010-01-01T00:00:00Z,103
http://www.wikidata.org/entity/Q113156,Robert Pires,Aston Villa F.C.,Premier League,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,9
http://www.wikidata.org/entity/Q115453,Ivan Rakitić,Sevilla FC,La Liga,2011-01-01T00:00:00Z,2014-01-01T00:00:00Z,117
http://www.wikidata.org/entity/Q115453,Ivan Rakitić,Futbol Club Barcelona,La Liga,2014-01-01T00:00:00Z,2020-09-01T00:00:00Z,200
http://www.wikidata.org/entity/Q115453,Ivan Rakitić,Sevilla FC,La Liga,2020-09-01T00:00:00Z,2024-01-01T00:00:00Z,121
http://www.wikidata.org/entity/Q116980,Gennaro Gattuso,AC Milan,Serie A,1999-01-01T00:00:00Z,2012-01-01T00:00:00Z,335
http://www.wikidata.org/entity/Q1173951,David Castedo,RCD Mallorca,La Liga,1993-01-01T00:00:00Z,2000-01-01T00:00:00Z,119
http://www.wikidata.org/entity/Q1173951,David Castedo,Sevilla FC,La Liga,2000-01-01T00:00:00Z,2007-01-01T00:00:00Z,235
http://www.wikidata.org/entity/Q1173951,David Castedo,Levante UD,La Liga,2007-01-01T00:00:00Z,2008-01-01T00:00:00Z,18
http://www.wikidata.org/entity/Q119562,Sergio Agüero,Atlético Madrid,La Liga,2006-01-01T00:00:00Z,2011-01-01T00:00:00Z,177
http://www.wikidata.org/entity/Q119562,Sergio Agüero,Manchester City F.C.,Premier League,2011-01-01T00:00:00Z,2021-07-01T00:00:00Z,275
http://www.wikidata.org/entity/Q119562,Sergio Agüero,Futbol Club Barcelona,La Liga,2021-07-01T00:00:00Z,2021-12-01T00:00:00Z,4
http://www.wikidata.org/entity/Q1198439,Marco Rossi,ACF Fiorentina,Serie A,2000-01-01T00:00:00Z,2002-01-01T00:00:00Z,36
http://www.wikidata.org/entity/Q1198439,Marco Rossi,Como 1907,Serie A,2002-01-01T00:00:00Z,2004-01-01T00:00:00Z,19
http://www.wikidata.org/entity/Q1198439,Marco Rossi,Genoa CFC,Serie A,2003-01-01T00:00:00Z,2004-01-01T00:00:00Z,38
http://www.wikidata.org/entity/Q1198439,Marco Rossi,Genoa CFC,Serie A,2004-01-01T00:00:00Z,2013-01-01T00:00:00Z,230
http://www.wikidata.org/entity/Q122294,Angelo Di Livio,AS Roma,Serie A,1984-01-01T00:00:00Z,1985-01-01T00:00:00Z,0
http://www.wikidata.org/entity/Q122294,Angelo Di Livio,Juventus FC,Serie A,1993-01-01T00:00:00Z,1999-01-01T00:00:00Z,186
